Name,Label
Sanmao,1
George Smith,1
Dennis Tanner,1
Wanda Tinasky,1
Heather Trott,1
Sean Tully,1
Mikey Waters,1
Johnny Weeks,1
Dukie Weems,1
Zoidberg,1
Illegitimacy in fiction,1
Sterling Archer,1
Pierre Bezukhov,1
Vincent Corleone,1
Kaoru Genji,1
Giorno Giovanna,1
Hong Gildong jeon,1
Esther Summerson,1
Tamaki Suoh,1
Nancy Hayton,1
Kyle Kelly,1
Susan Kennedy,1
Quarian,1
Hayley Ramsey,1
Susan Rose,1
Tali'Zorah,1
Nicholas Alamain,1
Vivian Alamain,1
Diego Alcazar,1
Macy Alexander,1
Scott Anderson,1
Sydney Andrews,1
Cane Ashby,1
Peter August,1
Scott Baldwin,1
Susan Banks,1
Tracy Barlow,1
Bucky Barnes,1
Brenda Barrett,1
Rachel Barrett,1
Ross Barton,1
Cindy Beale,1
Kathy Beale,1
Claudette Beaulieu,1
Katherine Bell,1
Kurt Benson,1
Harold Bishop,1
John Black,1
Blade Bladeson,1
Peter Blake,1
Rachel Blake,1
Sienna Blake,1
Dee Bliss,1
Bo Brady,1
Caroline Brady,1
Carrie Brady,1
Cassie Brady,1
Chelsea Brady,1
Ciara Brady,1
Colleen Brady,1
Kayla Brady,1
Roman Brady,1
Scarlett Brady,1
Isabella Braña,1
Darryl Braxton,1
Mark Brennan,1
Brent Taylor,1
Asa Buchanan,1
Olympia Buchanan,1
Frank Butcher,1
Drew Cain,1
Captain America,1
Fallon Carrington,1
Daisy Carter,1
Sheila Carter,1
Abe Carver,1
Andy Carver,1
Lexie Carver,1
Helena Cassadine,1
Nikolas Cassadine,1
Stavros Cassadine,1
Valentin Cassadine,1
Victor Cassadine,1
Toby Cavanaugh,1
Chance Chancellor,1
Katherine Chancellor,1
Phillip Chancellor III,1
Skye Chandler,1
Stuart Chandler,1
Elijah Clarke,1
Vincent Clarkson,1
Margaret Cochran,1
Zefram Cochrane,1
Lucy Coe,1
Daniel Cook,1
Dixie Cooney,1
Carly Corinthos,1
Sonny Corinthos,1
Nick Cotton,1
Alistair Crane,1
Julian Crane,1
Katherine Crane,1
Sheridan Crane,1
Tripp Dalton,1
Anna Devane,1
Abigail Deveraux,1
Anjelica Deveraux,1
Jack Deveraux,1
Clare Devine,1
André DiMera,1
EJ DiMera,1
Johnny DiMera,1
Kristen DiMera,1
Megan DiMera,1
Stefan DiMera,1
Stefano DiMera,1
Sydney DiMera,1
Tony DiMera,1
Jedediah Dingle,1
Echo DiSavoy,1
Luka Dokich,1
CeCe Drake,1
Elphaba,1
Marlena Evans,1
Bobby Ewing,1
Gary Ewing,1
J. R. Ewing,1
Valene Ewing,1
Cesar Faison,1
Nick Fallon,1
Lauren Fenmore,1
Boba Fett,1
Emily Fields,1
John Finnegan,1
Li Finnegan,1
Angela Forrester,1
Felicia Forrester,1
Ridge Forrester,1
Steffy Forrester,1
Thomas Forrester,1
Lisa Fowler,1
Denise Fox,1
Warren Fox,1
Franco,1
Kirsten Gannon,1
Sarah Gordon,1
Caz Hammond,1
Peter Harrell,1
Mo Harris,1
Megan Hathaway,1
Rob Hawthorne,1
Taylor Hayes,1
David Hayward,1
J. T. Hellstrom,1
Rafe Hernandez,1
Carlo Hesser,1
Hildibrand Manderville,1
Jennifer Hills,1
Sherlock Holmes,1
Alice Horton,1
Jennifer Horton,1
Maggie Horton,1
Will Horton,1
Claudette Hubbard,1
Jesse Hubbard,1
Tony Hutchinson,1
Jasper Jacks,1
Jerry Jacks,1
Sally Jackson,1
Diane Jenkins,1
Aiden Jennings,1
Ava Jerome,1
Julian Jerome,1
Jim,1
Steve Johnson,1
Joker,1
Holly Jonas,1
Danielle Jones,1
Elaine Jones,1
Frisco Jones,1
Juliet,1
Ray Kelly,1
Sadie King,1
Alex Kiriakis,1
Philip Kiriakis,1
Victor Kiriakis,1
Xander Kiriakis,1
George Kiss,1
Sara Lance,1
Veronica Landers,1
Chloe Lane,1
Mitch Laurence,1
Duke Lavery,1
Looter,1
Antonio Lopez-Fitzgerald,1
Marty Lopez-Fitzgerald,1
Tina Lord,1
Victor Lord,1
"Victor Lord, Jr.",1
Han Lue,1
Josh Madden,1
Carly Manning,1
Irene Manning,1
Todd Manning,1
Dimitri Marick,1
Reese Marshall,1
Tad Martin,1
Darth Maul,1
Sam McCall,1
Cleo McQueen,1
Mercedes McQueen,1
Myra McQueen,1
Mentallo,1
Heihachi Mishima,1
Ben Mitchell,1
Chloe Mitchell,1
Grant Mitchell,1
Miranda Montgomery,1
Alfie Moon,1
Jake Moon,1
Tommy Moon,1
Arnold Shortman,1
Artful Dodger,1
Angela Baker,1
Baudelaire children,1
Betsy Bobbin,1
Bouncing Boy,1
Brains,1
Brenda Brave Helps Grandmother,1
Kwai Chang Caine,1
Annie Campbell,1
Captain Future,1
Prince Caspian,1
El Chavo del Ocho,1
Cinderella,1
"Cori, de Scheepsjongen",1
Cosette,1
Tom Cunningham,1
Ponyboy Curtis,1
The Dana Girls,1
Elora Danan,1
Anita Diminuta,1
Dinky Duck,1
Dong Yong,1
Natsu Dragneel,1
Emma,1
Fatality,1
Huey Freeman,1
Riley Freeman,1
Dorothy Gale,1
Penelope Garcia,1
Geldoff,1
Elena Gilbert,1
Goomer,1
Green Hornet,1
Erin Hannon,1
Beth Harmon,1
Kalimán,1
Karai,1
Kato,1
Zeke Kinski,1
Klaus Baudelaire,1
Susumu Kodai,1
Lanfeust of Troy,1
Little Wise Guys,1
Kate Lockley,1
Lone Ranger,1
Lucky Luke,1
Paul McClain,1
Mercy-Man,1
Midnight Sun,1
Monkey D. Luffy,1
Mufasa,1
Nami,1
Nico Robin,1
Bella Nixon,1
Norman,1
Occulus,1
Parker,1
Petatje,1
Petoetje,1
Polly Plantar,1
Sprig Plantar,1
Plantman,1
Puss in Boots,1
Tobias Ragg,1
Harry Ramsay,1
Sophie Ramsay,1
Ray,1
Tom Ripley,1
Bamm-Bamm Rubble,1
Shannon Rutherford,1
Lizzie and Mika Samuels,1
Sandrembi and Chaisra,1
Sarutobi Sasuke,1
"Sheena, Queen of the Jungle",1
Shiva,1
Principal Skinner,1
Sarah Jane Smith,1
Snake Eyes,1
Sunny Baudelaire,1
Emma Swan,1
Takuma Tsurugi,1
Tarzan,1
Jade Taylor,1
Rodney Trotter,1
Turgut Alp,1
Violet Baudelaire,1
Rachel Welles,1
Michelle Welton,1
Langston Wilde,1
Wraith,1
Yakky Doodle,1
Tahani Al-Jamil,1
Shirou Emiya,1
Gordon Gekko,1
Tracy Quartermaine,1
Allen Walker,1
Daddy Warbucks,1
Martha Wayne,1
Thomas Wayne,1
Nicholas D. Wolfwood,1
Anders,1
Asta,1
Belle Black,1
Castiel,1
The Darkness,1
Etrigan the Demon,1
Akira Fudo,1
Allie Horton,1
Yuji Itadori,1
Meg Masters,1
Shredder,1
Damien Thorn,1
Ginny Weasley,1
Doug Williams,1
Sam Winchester,1
Captain Barbell,1
Firefly,1
Saw Gerrera,1
Hendrix Greyson,1
Leonard Hofstadter,1
Arthur Morgan,1
Martin Muntor,1
The Origami Killer,1
Mason Verger,1
Walter White,1
Template:Anime-char-stub,1
Template:Fict-char-stub,1
Abanazar,1
Amelia Jane,1
The Autodidact,1
Bahadur,1
Baron von Lemon,1
Tony Beaver,1
Beltrame,1
Franz Bibfeldt,1
Billy Brit,1
Verity Birdwood,1
Boober Fraggle,1
Joachim-Raphaël Boronali,1
Boudreaux and Thibodeaux,1
Ponsonby Britt,1
C. W. Blubberhouse,1
Carbucketty,1
Dipak Chatterjee,1
Chika,1
Coviello,1
Cri-Cri,1
Cucurucu,1
Devil's grandmother,1
Dojikko,1
Dokter Faust van Waardenburg,1
Lord Dundreary,1
Fahai,1
Fez,1
Food Creatures,1
Fred the Baker,1
Froggy Ball,1
G.I.R.L.,1
General Boy,1
Globi,1
Kari Grandi,1
Philo Gubb,1
Han Zhang,1
Hector the Cat,1
Hector the Tax Inspector,1
William Hickey,1
Irwin the Disco Duck,1
Isshin Tasuke,1
Jake the Peg,1
Gonu Jha,1
Jiang Yuhan,1
John Chinaman,1
Kabayan,1
Kali,1
Kogepan,1
Kokone,1
Lingguan,1
Claude Émile Jean-Baptiste Litre,1
Love,1
Samuel Marchbanks,1
Martin Merton,1
Mary Adams,1
Jack McGurk,1
Meneghino,1
Mew,1
Miner Willy,1
Mokey Fraggle,1
Kemp Morgan,1
Mudbone,1
Munkustrap,1
Necile,1
Bertrand Newton,1
Nick Whiffles,1
Oin-Oin,1
Orsino,1
Andy Page,1
Patufet,1
Ulysses Paxton,1
Percy Nilegård,1
Pete and Dud,1
Phantasia,1
Philoetius,1
Miss Pross,1
Razullo,1
Red Fraggle,1
Reginald Molehusband,1
Remo Williams,1
Antero Rokka,1
Michael Rossi,1
Sanddef,1
Sandrone,1
Shudu Gram,1
Sirotan,1
Sister Mary McArthur,1
Sam Slick,1
Stephen Sphincter,1
Super Greg,1
Szass Tam,1
Malba Tahan,1
Tartaglia,1
Elsbeth Tascioni,1
Goenda Tatar,1
Toby Tolliver,1
Tone Rion,1
Tongtian Jiaozhu,1
Treeson,1
Paul Trimmel,1
Mickael Turtle,1
Ugoff,1
Pedro Urdemales,1
Vixen,1
Ian Westbury,1
Yahoo,1
Yamal Iri,1
Arnaeus,1
Lucy Barker,1
Barney & Clyde,1
Black-eyed children,1
Barney Boko,1
Estragon,1
Happy Hooligan,1
Hijitus,1
Hong Qigong,1
Macho ya Mji,1
The Man with the Twisted Lip,1
Moocher McDuck,1
Pete the Tramp,1
Les Pieds Nickelés,1
The Prince and the Princess in the Forest,1
Rémi,1
Serafino,1
The Story of Three Wonderful Beggars,1
King Thrushbeard,1
Tom o' Bedlam,1
The Tramp,1
Vladimir,1
Belle,1
Elizabeth Bennet,1
Mr Brownlow,1
Atticus Finch,1
Rupert Giles,1
Rory Gilmore,1
Hermione Granger,1
Brian Griffin,1
Tyrion Lannister,1
Rapunzel,1
Yomiko Readman,1
Willow Rosenberg,1
Scarecrow,1
Anne Shirley,1
Lisa Simpson,1
Twilight Sparkle,1
Annie Wilkes,1
Nero Wolfe,1
Matilda Wormwood,1
Sandy Cheeks,1
Hans and Franz,1
Brittany Pierce,1
Ruth Powers,1
Summer Smith,1
Horuss Zahhak,1
Zarya,1
Aku,1
Ambush Bug,1
Animal Man,1
Black Hand,1
Bugs Bunny,1
The Colonel,1
D.W. Read,1
Daffy Duck,1
Deadpool,1
Doonesbury,1
Dora,1
The Dwarf,1
Elmer Fudd,1
Eloise,1
Fleabag,1
Foghorn Leghorn,1
Garfield,1
Mr. Garrison,1
Genie,1
Gonzo,1
Peter Griffin,1
Stewie Griffin,1
Gwenpool,1
Augustus Hill,1
Jack Horner,1
Howard the Duck,1
Iago,1
Jax,1
Lincoln Loud,1
Little Nemo,1
Marvin the Martian,1
Mephisto,1
Zack Morris,1
Musalman,1
My Own Genie,1
Porky Pig,1
Austin Powers,1
Psycho Mantis,1
Purple Man,1
Arthur Read,1
Mr. Resetti,1
Rizzo the Rat,1
The Saint,1
Sam & Max,1
Rick Sanchez,1
Sans,1
Screwy Squirrel,1
She-Hulk,1
Slapstick,1
Will Smith,1
Snagglepuss,1
Statler and Waldorf,1
Travis Touchdown,1
Trashman,1
Claire Underwood,1
Frank Underwood,1
Francis Urquhart,1
W. D. Gaster,1
Wile E. Coyote and the Road Runner,1
Wade Wilson,1
Vanessa Abrams,1
Julian Albans,1
Keegan Baker,1
Katsuki Bakugo,1
Amy Barlow,1
Binky Barnes,1
Mike Barnes,1
Lucy Beale,1
Aiden Bigsby,1
Kyle Bigsby,1
Sirius Black,1
Cheryl Blossom,1
Henry Bowers,1
Buford Van Stomm,1
Bulk and Skull,1
Bumper,1
Ruby Button,1
Chanel Oberlin,1
Trevor Cleaver,1
Dotty Cotton,1
Steph Cunningham,1
Ric Dalby,1
Mick Daniels,1
Imelda Davis,1
Dolph Starbeam,1
Michael Doyle,1
Mertle Edmonds,1
Lonnie Elam,1
Quinn Fabray,1
Mauler McCaul,1
Ted Fisk,1
Harry Flashman,1
Regina George,1
Maddie Gilks,1
Takeshi Goda,1
Gretchen Wieners,1
Chris Hargensen,1
Billy Hargrove,1
Steve Harrington,1
Greg Heffley,1
Patrick Hockstetter,1
Suneo Honekawa,1
Jenny Humphrey,1
Max Humphries,1
Aden Jefferies,1
Jimbo Jones,1
Jimmy Speckerman,1
Dave Karofsky,1
Ja'mie King,1
Johnny Lawrence,1
Santana Lopez,1
Draco Malfoy,1
Reggie Mantle,1
Jenna Marshall,1
Gus Matthews,1
Kenny McFarlane,1
Ace Merrill,1
Kathryn Merteuil,1
Louise Mitchell,1
Chloe Moore,1
Maddie Morrison,1
Nelson Muntz,1
Juliet Nightingale,1
Billy Nolan,1
Sinead O'Connor,1
Andrea O'Malley,1
Finn O'Connor,1
Nellie Oleson,1
Matt Page,1
Pansy Parkinson,1
Sean Pearce,1
Alex Pickering,1
Angelica Pickles,1
Grace Piper,1
Nathan Prescott,1
Pu Yi-yong,1
Rockslide,1
Robbie Roscoe,1
Alice Rowe,1
Lumpy Rutherford,1
Sam Hess,1
Severus Snape,1
Becky Stevens,1
Robyn Stone,1
Susie,1
Wayne Sutcliffe,1
Jonah Takalua,1
Biff Tannen,1
Thinker,1
Chad Thomas,1
Flash Thompson,1
Tyray Hobbs,1
Blair Waldorf,1
Norma Watson,1
Paula Webster,1
Kitty Wilde,1
Faye Windass,1
Ye Bao-sheng,1
Kearney Zzyzwicz,1
Animal-Vegetable-Mineral Man,1
Anton Arcane,1
Art the Clown,1
Baba Yaga,1
Barracuda,1
Nathan Basic,1
Patrick Bateman,1
Billy,1
Black Lantern Corps,1
Black Noir,1
